TGAS_id ppmxl_id Closest_approach_Dist[mas] Closest_approah_time[JYr]
5200909283232946560 6234917897003511370 325.374854374967 2014.1617334071088
6252489110346974848 4660556120477153865 358.2210270232249 2013.397269384703
6350731848675233536 6446221259875254008 323.2815620683862 2013.5701847742848
6354346905470767232 6447852313104339922 557.0592501970716 2016.062471976421
6356546684637452544 6444023965783237449 360.8855430958462 2013.9040814637247
6373865779481580672 6428850117912699396 546.082909140494 2014.2652276396502
6393559269685640832 6483612698080913622 293.4310154913851 2019.576159883936
5941478330735352192 5923422529929225013 224.59946098686225 2014.2782318931281
4617518584016224640 6632402461734556595 281.3922349779067 2022.7362682395124
4636623560620691712 6642124778024154547 314.1194777877128 2021.6775759640223
4657054376450962176 6648897699311802221 449.6512322333246 2018.7339673680226
3445879611933203072 3123260875214523652 145.9878846326677 2024.8402033322845
2282909189524519552 276899023424631599 522.6129345687679 2013.2259845056585
6484349586926157824 6512906925947731030 555.2959013066461 2013.5407406891645
6486330631998716288 6484648357722237495 488.46622984153606 2014.1453328704526
4710180235683826176 6777959520331399803 395.85868943265143 2013.5154018606029
2297629416836084224 284008670813439489 668.7579320035875 2014.3474907027473
6507124664622385664 6574452425054527173 621.47554759195 2016.118600165563
6523198253310541440 6618541825190848256 695.2816698922838 2016.5677280519487
6523660494870415488 6620101218170236234 606.2137760020978 2015.6948216252945
6562582828536563328 6593317898099307429 551.5876028409589 2014.4531682017841
2372994857246843776 1615310103538692621 33.271923287405 2017.3643021237403
6575581564239343872 6519851596723311770 258.2268576759371 2023.2311033698268
2515037294106060928 2096558767427258313 604.2327958039842 2019.5438655997739
6080086889707693952 5890952428711040682 589.4877485354176 2013.8153970976448
4986970571306154880 1449208311273424560 397.5443898147261 2015.8567195303829
4990101396306002816 6819260242801784139 148.08274112186788 2024.9654405936058
5003620888202517504 1457577990943043168 84.74513566271747 2024.3795749451474
5386728122714476160 6061066550570148427 55.57546169411702 2019.9010624997672
5064575923060316800 1545841191466458972 99.49849886268338 2016.4288722735616
1078773257928567808 901689603363626723 633.341197238188 2023.0607057207478
1090049711743739904 925892982187682648 368.9211411301455 2021.3983256658255
1925804305497891072 2016288357811623728 600.6466940367404 2015.2543930554614
1942454313155583360 100536380482174489 418.759261331435 2013.1459943689506
1943025921762019968 100661132575375911 613.9955150779849 2014.7092580889587
2137521351100968192 172376475477382692 465.93305614671607 2013.0418571423204
869743693622485760 3237863121680160210 35.30509022143975 2016.9413653898932
1990678068516601728 100383859513833018 653.2888817915253 2013.333531607235
2214309903153925120 249177705368967073 339.5862129487893 2019.3451062172876
2214506131620182400 249129694805130417 595.4826231049866 2013.5305698202399
2003215696527393792 128498862161600989 685.5350251045147 2015.2105981322093
2006899094840162048 135272125181888214 685.7956210553967 2017.459258087144
422054582068454016 327603856034493418 609.8547298819476 2018.6096941420953
1653112468186847616 662961631370428037 605.6419832637126 2014.62363900685
