TGAS_id ppmxl_id
5200909283232946560 6234917897003511370
4082356691047331456 5065289971112841704
6246397437969982464 4837329076689950337
6252489110346974848 4660556120477153865
6350731848675233536 6446221259875254008
6355228541994864896 6445638200543389165
6356546684637452544 6444023965783237449
5232201349797533440 6211027491681710231
6360573371096249600 6432583720169649800
6365296907410117760 6432047028393038531
6373865779481580672 6428850117912699396
4144902306908889600 4863209235566033771
4155146594184941184 5085671177220862329
5941478330735352192 5923422529929225013
6410186325039209984 6465894053898381951
4617518584016224640 6632402461734556595
6433051012936528384 6416814360839897286
5261433343891270400 6262995078405207494
4662889347223619200 6661747218011696180
2267589487854902784 267564903857960573
6471497498585891712 6411920636973377655
2276621563560450176 271079255750139707
2282909189524519552 276899023424631599
2288655443448322816 273454113318071628
6486330631998716288 6484648357722237495
6487709797537081088 6581796211724732020
2290604430888598528 280365133176091496
2297629416836084224 284008670813439489
2299802532849008128 285349812445778167
2372994857246843776 1615310103538692621
5835113603092103424 5943055528295505469
6054954733970528768 5907031717178882479
5333366967995664896 6101011352601771828
4339465356212491648 4872410942328503489
5339892294634736768 6099373800518669374
6663357776506466944 6382314404370588110
6080086889707693952 5890952428711040682
5351033852114996608 6102799489374424065
5866128592722778112 5987210447548070784
4986970571306154880 1449208311273424560
5003620888202517504 1457577990943043168
5386728122714476160 6061066550570148427
5064575923060316800 1545841191466458972
1070941745841591040 907119692156391802
1078773257928567808 901689603363626723
2070115584598613632 44402911296514425
1893671009455533952 1906484485676241489
869743693622485760 3237863121680160210
1988777665745755392 89460390239783917
2213415141206096640 241751133138682048
2214309903153925120 249177705368967073
2227050769019095424 248143562492077063
2011035835541764736 140899081943943482
1639285765869410176 653377351533472479
422054582068454016 327603856034493418
